MONITOR,CHANNEL,DOB,GENOTYPE,SEX,ID
69,1,31-Jul-2017,CS,M,69_1
69,2,31-Jul-2017,CS,F,69_2
69,3,31-Jul-2017,PER01,M,69_3
69,4,31-Jul-2017,PER01,F,69_4
69,5,31-Jul-2017,CS,M,69_5
69,6,31-Jul-2017,CS,F,69_6
69,7,31-Jul-2017,PER01,M,69_7
69,8,31-Jul-2017,PER01,F,69_8
69,9,31-Jul-2017,CS,M,69_9
69,10,31-Jul-2017,CS,F,69_10
69,11,31-Jul-2017,PER01,M,69_11
69,12,31-Jul-2017,PER01,F,69_12
69,13,31-Jul-2017,CS,M,69_13
69,14,31-Jul-2017,CS,F,69_14
69,15,31-Jul-2017,PER01,M,69_15
69,16,31-Jul-2017,PER01,F,69_16
69,17,31-Jul-2017,CS,M,69_17
69,18,31-Jul-2017,CS,F,69_18
69,19,31-Jul-2017,PER01,M,69_19
69,20,31-Jul-2017,PER01,F,69_20
69,21,31-Jul-2017,CS,M,69_21
69,22,31-Jul-2017,CS,F,69_22
69,23,31-Jul-2017,PER01,M,69_23
69,24,31-Jul-2017,PER01,F,69_24
69,25,31-Jul-2017,CS,M,69_25
69,26,31-Jul-2017,CS,F,69_26
69,27,31-Jul-2017,PER01,M,69_27
69,28,31-Jul-2017,PER01,F,69_28
69,29,31-Jul-2017,CS,M,69_29
69,30,31-Jul-2017,CS,F,69_30
69,31,31-Jul-2017,PER01,M,69_31
69,32,31-Jul-2017,PER01,F,69_32
70,1,31-Jul-2017,CS,M,70_1
70,2,31-Jul-2017,CS,F,70_2
70,3,31-Jul-2017,PER01,M,70_3
70,4,31-Jul-2017,PER01,F,70_4
70,5,31-Jul-2017,CS,M,70_5
70,6,31-Jul-2017,CS,F,70_6
70,7,31-Jul-2017,PER01,M,70_7
70,8,31-Jul-2017,PER01,F,70_8
70,9,31-Jul-2017,CS,M,70_9
70,10,31-Jul-2017,CS,F,70_10
70,11,31-Jul-2017,PER01,M,70_11
70,12,31-Jul-2017,PER01,F,70_12
70,13,31-Jul-2017,CS,M,70_13
70,14,31-Jul-2017,CS,F,70_14
70,15,31-Jul-2017,PER01,M,70_15
70,16,31-Jul-2017,PER01,F,70_16
70,17,31-Jul-2017,CS,M,70_17
70,18,31-Jul-2017,CS,F,70_18
70,19,31-Jul-2017,PER01,M,70_19
70,20,31-Jul-2017,PER01,F,70_20
70,21,31-Jul-2017,CS,M,70_21
70,22,31-Jul-2017,CS,F,70_22
70,23,31-Jul-2017,PER01,M,70_23
70,24,31-Jul-2017,PER01,F,70_24
70,25,31-Jul-2017,CS,M,70_25
70,26,31-Jul-2017,CS,F,70_26
70,27,31-Jul-2017,PER01,M,70_27
